Old names,New names
Building,b
Site:Location,sl
SizingPeriod:DesignDay,spdd
RunPeriod,rp
RunPeriodControl:SpecialDays,rpcs
ScheduleTypeLimits,stl
Schedule:Constant,sc
Schedule:Day:Hourly,sdh
Schedule:Week:Daily,swd
Schedule:Year,sy
Schedule:Compact,sc
Material,m
Material:NoMass,mnm
Material:AirGap,mag
Construction,c
ZoneList,zl
ZoneGroup,zg
Zone,z
BuildingSurface:Detailed,bsd
Shading:Zone:Detailed,szd
InternalMass,im
People,p
Lights,l
ElectricEquipment,ee
GasEquipment,ge
HotWaterEquipment,hwe
SteamEquipment,se
ZoneBaseboard:OutdoorTemperatureControlled,zbot
ZoneInfiltration:DesignFlowRate,zidf
ZoneVentilation:DesignFlowRate,zvdf
ZoneVentilation:WindandStackOpenArea,zvws
Exterior:Lights,el
Exterior:FuelEquipment,efe
DesignSpecification:OutdoorAir,dsoa
ZoneHVAC:Baseboard:Convective:Electric,zhva
ZoneControl:Thermostat,zct
ThermostatSetpoint:SingleHeating,tssh
ThermostatSetpoint:SingleCooling,tssc
ThermostatSetpoint:DualSetpoint,tsds
AirTerminal:SingleDuct:Uncontrolled,atsd
AirTerminal:SingleDuct:VAV:Reheat,atsd
ZoneHVAC:AirDistributionUnit,zhva
ZoneHVAC:UnitHeater,zhva
ZoneHVAC:HighTemperatureRadiant,zhva
ZoneHVAC:EquipmentList,zhva
Fan:VariableVolume,fvv
Fan:OnOff,foo
Fan:ConstantVolume,fcv
Fan:ZoneExhaust,fze
Coil:Cooling:DX:SingleSpeed,ccdx
Coil:Heating:Electric,che
Coil:Cooling:DX:TwoSpeed,ccdx
Coil:Heating:Fuel,chf
CoilSystem:Cooling:DX,cscd
Controller:MechanicalVentilation,cmv
Controller:OutdoorAir,coa
AirLoopHVAC:Unitary:Furnace:HeatCool,alhv
AirLoopHVAC:ControllerList,alhv
AirLoopHVAC:UnitaryHeatCool,alhv
AirLoopHVAC,alhv
AirLoopHVAC:OutdoorAirSystem:EquipmentList,alhv
AirLoopHVAC:OutdoorAirSystem,alhv
OutdoorAir:Mixer,oam
AirLoopHVAC:ZoneSplitter,alhv
AirLoopHVAC:SupplyPath,alhv
AirLoopHVAC:ReturnPlenum,alhv
AirLoopHVAC:ZoneMixer,alhv
AirLoopHVAC:ReturnPath,alhv
Branch,b
BranchList,bl
NodeList,nl
OutdoorAir:Node,oan
AvailabilityManager:Scheduled,ams
AvailabilityManager:NightCycle,amnc
AvailabilityManagerAssignmentList,amal
SetpointManager:Scheduled,sms
SetpointManager:SingleZone:Reheat,smsz
SetpointManager:MixedAir,smma
WaterHeater:Mixed,whm
WaterUse:Connections,wuc
WaterUse:Equipment,wue
Curve:Quadratic,cq
Curve:Cubic,cc
Curve:Biquadratic,cb
Controller:OutdoorAir,coa
AirLoopHVAC:ZoneMixer,alhv
OutdoorAir:Node,oan
WaterHeater:Mixed,whm
EnergyManagementSystem:Sensor,emss
EnergyManagementSystem:Actuator,emsa
EnergyManagementSystem:ProgramCallingManager,emsp
EnergyManagementSystem:Program,emsp
EnergyManagementSystem:InternalVariable,emsi
PlantEquipmentList,pel
PlantEquipmentOperation:HeatingLoad,peoh
PlantEquipmentOperationSchemes,peos
PlantLoop,pl
Output:Table:Monthly,otm
Connector:Splitter,cs
Connector:Mixer,cm
ConnectorList,cl
Pipe:Adiabatic,pa
Pump:ConstantSpeed,pcs
LifeCycleCost:Parameters,lccp
LifeCycleCost:NonrecurringCost,lccn
UtilityCost:Tariff,uct
UtilityCost:Variable,ucv
